timestamp,cumulFlow
"""2025-04-06T13:44:27.000Z""",246.55
"""2025-04-06T13:54:27.000Z""",246.55
"""2025-04-06T14:04:27.000Z""",246.55
"""2025-04-06T14:14:27.000Z""",246.55
"""2025-04-06T14:24:27.000Z""",246.55
"""2025-04-06T14:34:27.000Z""",246.55
"""2025-04-06T14:44:27.000Z""",246.55
"""2025-04-06T14:54:27.000Z""",246.55
"""2025-04-06T15:04:27.000Z""",246.55
"""2025-04-06T15:14:27.000Z""",246.55
"""2025-04-06T15:24:27.000Z""",246.55
"""2025-04-06T15:34:27.000Z""",246.55
"""2025-04-06T15:44:27.000Z""",246.55
"""2025-04-06T15:54:27.000Z""",246.55
"""2025-04-06T16:04:27.000Z""",246.55
"""2025-04-06T16:14:27.000Z""",246.55
"""2025-04-06T16:24:27.000Z""",246.55
"""2025-04-06T16:34:27.000Z""",246.55
"""2025-04-06T16:44:27.000Z""",246.55
"""2025-04-06T16:54:27.000Z""",246.55
"""2025-04-06T17:04:27.000Z""",246.55
"""2025-04-06T17:14:27.000Z""",246.55
"""2025-04-06T17:24:27.000Z""",246.55
"""2025-04-06T17:34:27.000Z""",246.55
"""2025-04-06T17:44:27.000Z""",246.55
"""2025-04-06T17:54:27.000Z""",246.55
"""2025-04-06T18:04:27.000Z""",246.55
"""2025-04-06T18:14:27.000Z""",246.55
"""2025-04-06T18:24:27.000Z""",246.55
"""2025-04-06T18:34:27.000Z""",246.55
"""2025-04-06T18:44:27.000Z""",246.55
"""2025-04-06T18:54:27.000Z""",246.55
"""2025-04-06T19:04:27.000Z""",246.55
"""2025-04-06T19:14:27.000Z""",246.55
"""2025-04-06T19:24:27.000Z""",246.55
"""2025-04-06T19:34:27.000Z""",246.55
"""2025-04-06T19:44:27.000Z""",246.55
"""2025-04-06T19:54:27.000Z""",246.55
"""2025-04-06T20:04:27.000Z""",246.55
"""2025-04-06T20:14:27.000Z""",246.55
"""2025-04-06T20:24:27.000Z""",246.55
"""2025-04-06T20:34:27.000Z""",246.55
"""2025-04-06T20:44:27.000Z""",246.55
"""2025-04-06T20:54:27.000Z""",246.55
"""2025-04-06T21:04:27.000Z""",246.55
"""2025-04-06T21:14:27.000Z""",246.55
"""2025-04-06T21:24:27.000Z""",246.55
"""2025-04-06T21:34:27.000Z""",246.55
"""2025-04-06T21:44:27.000Z""",246.55
"""2025-04-06T21:54:27.000Z""",246.55
"""2025-04-06T22:04:27.000Z""",246.55
"""2025-04-06T22:14:27.000Z""",246.55
"""2025-04-06T22:24:27.000Z""",246.55
"""2025-04-06T22:34:27.000Z""",246.55
"""2025-04-06T22:44:27.000Z""",246.55
"""2025-04-06T22:54:27.000Z""",246.55
"""2025-04-06T23:04:27.000Z""",246.55
"""2025-04-06T23:14:27.000Z""",246.55
"""2025-04-06T23:24:27.000Z""",246.55
"""2025-04-06T23:34:27.000Z""",246.55
"""2025-04-06T23:44:27.000Z""",246.55
"""2025-04-06T23:54:27.000Z""",246.55
"""2025-04-07T00:04:27.000Z""",246.55
"""2025-04-07T00:14:27.000Z""",246.55
"""2025-04-07T00:24:27.000Z""",246.55
"""2025-04-07T00:34:27.000Z""",246.55
"""2025-04-07T00:44:27.000Z""",246.55
"""2025-04-07T00:54:27.000Z""",246.55
"""2025-04-07T01:04:27.000Z""",246.55
"""2025-04-07T01:14:27.000Z""",246.55
"""2025-04-07T01:24:27.000Z""",246.55
"""2025-04-07T01:34:27.000Z""",246.55
"""2025-04-07T01:44:27.000Z""",246.55
"""2025-04-07T01:54:27.000Z""",246.55
"""2025-04-07T02:04:27.000Z""",246.55
"""2025-04-07T02:14:27.000Z""",246.55
"""2025-04-07T02:24:27.000Z""",246.55
"""2025-04-07T02:34:27.000Z""",246.55
"""2025-04-07T02:44:27.000Z""",246.55
"""2025-04-07T02:54:27.000Z""",246.55
"""2025-04-07T03:04:27.000Z""",246.55
"""2025-04-07T03:14:27.000Z""",246.55
"""2025-04-07T03:24:28.000Z""",246.55
"""2025-04-07T03:34:28.000Z""",246.55
"""2025-04-07T03:44:28.000Z""",246.55
"""2025-04-07T03:54:28.000Z""",246.55
"""2025-04-07T04:04:28.000Z""",246.55
"""2025-04-07T04:14:28.000Z""",246.55
"""2025-04-07T04:24:28.000Z""",246.55
"""2025-04-07T04:34:28.000Z""",246.55
"""2025-04-07T04:44:28.000Z""",246.55
"""2025-04-07T04:54:28.000Z""",246.55
"""2025-04-07T05:04:28.000Z""",246.55
"""2025-04-07T05:14:28.000Z""",246.55
"""2025-04-07T05:24:28.000Z""",246.55
"""2025-04-07T05:34:28.000Z""",246.55
"""2025-04-07T05:44:28.000Z""",246.55
"""2025-04-07T05:54:28.000Z""",246.55
"""2025-04-07T06:04:28.000Z""",246.55
"""2025-04-07T06:14:28.000Z""",246.55
"""2025-04-07T06:24:28.000Z""",246.55
"""2025-04-07T06:34:28.000Z""",246.55
"""2025-04-07T06:44:28.000Z""",246.55
"""2025-04-07T06:54:28.000Z""",246.55
"""2025-04-07T07:04:28.000Z""",246.55
"""2025-04-07T07:14:28.000Z""",246.55
"""2025-04-07T07:24:28.000Z""",246.55
"""2025-04-07T07:34:28.000Z""",246.55
"""2025-04-07T07:44:28.000Z""",246.55
"""2025-04-07T07:54:28.000Z""",246.55
"""2025-04-07T08:04:28.000Z""",246.55
"""2025-04-07T08:14:28.000Z""",246.55
"""2025-04-07T08:24:28.000Z""",246.55
"""2025-04-07T08:34:28.000Z""",246.55
"""2025-04-07T08:44:28.000Z""",246.55
"""2025-04-07T08:54:28.000Z""",246.89
"""2025-04-07T09:04:28.000Z""",247.29
"""2025-04-07T09:14:28.000Z""",247.69
"""2025-04-07T09:24:28.000Z""",248.08
"""2025-04-07T09:34:28.000Z""",248.47
"""2025-04-07T09:44:28.000Z""",248.47
"""2025-04-07T09:54:28.000Z""",248.47
"""2025-04-07T10:04:28.000Z""",248.47
"""2025-04-07T10:14:28.000Z""",248.47
"""2025-04-07T10:24:28.000Z""",248.47
"""2025-04-07T10:34:28.000Z""",248.47
"""2025-04-07T10:44:28.000Z""",248.47
"""2025-04-07T10:54:28.000Z""",248.47
